Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Andrzej,2022-03-08 16:15:51,00:00:06,Autoplayed: user action: None; ,Trailer: Autumn Girl,TRAILER,Netflix Opera Other,00:00:06,00:00:06,PL (Poland)
Andrzej,2021-06-03 12:31:29,00:00:20,Autoplayed: user action: Visibility_Timeout; ,Lucyfer: Sezon 1: Pilot (Odcinek 1),,Samsung CE 2021 Nike-L UHD TV  Smart TV,00:00:20,00:00:20,PL (Poland)
Andrzej,2021-05-30 11:57:00,00:00:50,,Jak zostalem gangsterem. Historia prawdziwa,,Samsung CE 2021 Nike-L UHD TV  Smart TV,00:00:50,00:00:50,PL (Poland)
Andrzej,2021-05-30 11:56:47,00:00:10,Autoplayed: user action: None; ,How I Became a Gangster_hook_04_16x9,HOOK,Samsung CE 2021 Nike-L UHD TV  Smart TV,00:00:10,00:00:10,PL (Poland)
Andrzej,2021-05-30 11:56:26,00:00:15,Autoplayed: user action: None; ,How I Became a Gangster_hook_04_16x9,HOOK,Samsung CE 2021 Nike-L UHD TV  Smart TV,00:00:15,Not latest view,PL (Poland)
Andrzej,2021-05-30 11:55:13,00:00:05,Autoplayed: user action: None; ,The Kominsky Method: Sezon 1: zwiastun nr 1,TRAILER,Samsung CE 2021 Nike-L UHD TV  Smart TV,00:00:05,00:00:05,PL (Poland)
Andrzej,2021-05-30 11:54:34,00:00:08,Autoplayed: user action: None; ,Sezon 2 (zwiastun): Ragnarok,TRAILER,Samsung CE 2021 Nike-L UHD TV  Smart TV,00:00:08,00:00:08,PL (Poland)
Andrzej,2020-05-24 16:33:53,00:01:15,Autoplayed: user action: None; ,Formula 1: Jazda o życie: Sezon 2: Punkt wrzenia (Odcinek 2),,Chrome PC (Cadmium),00:04:43,00:04:43,PL (Poland)
Andrzej,2020-05-24 15:57:27,00:33:12,,Formula 1: Jazda o życie: Sezon 2: Ruszamy! (Odcinek 1),,Chrome PC (Cadmium),00:32:33,00:32:33,PL (Poland)
Andrzej,2020-05-24 14:34:09,01:03:40,,Góra,,Chrome PC (Cadmium),01:04:35,01:04:35,PL (Poland)
Andrzej,2020-05-18 10:06:08,00:49:48,Autoplayed: user action: None; ,Ostatni taniec: Sezon 1: Odcinek 10 (Odcinek 10),,Chrome PC (Cadmium),00:49:46,00:49:46,PL (Poland)
Andrzej,2020-05-18 09:04:17,00:49:44,,Ostatni taniec: Sezon 1: Odcinek 9 (Odcinek 9),,Chrome PC (Cadmium),00:48:42,00:48:42,PL (Poland)
Andrzej,2020-05-11 15:44:54,00:49:29,Autoplayed: user action: None; ,Ostatni taniec: Sezon 1: Odcinek 8 (Odcinek 8),,Chrome PC (Cadmium),00:49:35,00:49:35,PL (Poland)
Andrzej,2020-05-11 14:52:11,00:50:19,,Ostatni taniec: Sezon 1: Odcinek 7 (Odcinek 7),,Chrome PC (Cadmium),00:49:42,00:49:42,PL (Poland)
Andrzej,2020-05-04 19:15:07,00:49:07,Autoplayed: user action: None; ,Ostatni taniec: Sezon 1: Odcinek 6 (Odcinek 6),,Chrome PC (Cadmium),00:48:26,00:48:26,PL (Poland)
Andrzej,2020-05-04 18:25:42,00:49:17,,Ostatni taniec: Sezon 1: Odcinek 5 (Odcinek 5),,Chrome PC (Cadmium),00:49:17,00:49:17,PL (Poland)
Andrzej,2020-04-27 20:07:58,00:50:24,Autoplayed: user action: None; ,Ostatni taniec: Sezon 1: Odcinek 4 (Odcinek 4),,Chrome PC (Cadmium),00:49:45,00:49:45,PL (Poland)
Andrzej,2020-04-27 19:12:11,00:48:27,,Ostatni taniec: Sezon 1: Odcinek 3 (Odcinek 3),,Chrome PC (Cadmium),00:47:22,00:47:22,PL (Poland)
Andrzej,2020-04-26 17:04:41,00:48:44,Autoplayed: user action: None; ,Ostatni taniec: Sezon 1: Odcinek 2 (Odcinek 2),,Chrome PC (Cadmium),00:48:49,00:48:49,PL (Poland)
Andrzej,2020-04-26 16:08:06,00:49:21,,Ostatni taniec: Sezon 1: Odcinek 1 (Odcinek 1),,Chrome PC (Cadmium),00:49:22,00:49:22,PL (Poland)
Andrzej,2020-04-26 15:15:10,00:00:12,,Ostatni taniec: Sezon 1: Odcinek 1 (Odcinek 1),,Chrome PC (Cadmium),00:00:01,Not latest view,PL (Poland)
